Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Town of Pecos, TX",45880,Micropolitan Statistical Area,TX,11770,0.006671228,14768,12981,11692,11770,25,-1787,-1289,78,56,172,182,187,29,160,160,151,27,12,22,36,0,16,43,44,-6,-1675,-1479,0,-6,-1659,-1436,44,4,-140,125,-2
"Traverse City, MI",45900,Metropolitan Statistical Area,MI,156371,0.003974267,153654,154827,155752,156371,198,1173,925,619,343,1354,1411,1402,432,1880,1965,1778,-89,-526,-554,-376,0,26,68,81,281,1666,1405,914,281,1692,1473,995,6,7,6,0
"Trenton-Princeton, NJ",45940,Metropolitan Statistical Area,NJ,381671,0.002342566,386466,382172,380779,381671,-862,-4294,-1393,892,1014,3873,4126,4130,1327,3341,3365,3145,-313,532,761,985,30,817,2215,2761,-606,-5486,-4459,-2892,-576,-4669,-2244,-131,27,-157,90,38
"Troy, AL",45980,Micropolitan Statistical Area,AL,33137,0.003908143,32900,32746,33008,33137,-102,-154,262,129,89,355,359,360,100,454,439,396,-11,-99,-80,-36,2,26,63,66,-86,-100,278,100,-84,-74,341,166,-7,19,1,-1
"Truckee-Grass Valley, CA",46020,Micropolitan Statistical Area,CA,102037,-0.003554653,102265,103517,102401,102037,28,1252,-1116,-364,205,797,817,741,271,1216,1139,1110,-66,-419,-322,-369,0,2,33,50,117,1748,-788,-39,117,1750,-755,11,-23,-79,-39,-6
"Tucson, AZ",46060,Metropolitan Statistical Area,AZ,1063162,0.005376954,1045175,1048914,1057476,1063162,1740,3739,8562,5686,2351,9815,10093,10006,2994,12945,12750,11276,-643,-3130,-2657,-1270,66,1161,3224,3105,2257,5189,7927,3823,2323,6350,11151,6928,60,519,68,28
"Tullahoma-Manchester, TN",46100,Micropolitan Statistical Area,TN,67381,0.01332431,64609,65634,66495,67381,253,1025,861,886,198,775,755,755,195,934,995,897,3,-159,-240,-142,1,34,121,72,263,1164,956,954,264,1198,1077,1026,-14,-14,24,2
"Tulsa, OK",46140,Metropolitan Statistical Area,OK,1044757,0.010356386,1017350,1025813,1034048,1044757,2012,8463,8235,10709,2950,12297,12419,12389,2505,11992,12657,10872,445,305,-238,1517,47,690,1960,2821,1286,7047,6813,6352,1333,7737,8773,9173,234,421,-300,19
"Tupelo, MS",46180,Micropolitan Statistical Area,MS,132027,0.002589493,132159,131855,131686,132027,-60,-304,-169,341,397,1596,1651,1676,438,1962,1889,1672,-41,-366,-238,4,7,45,64,166,-64,-56,57,163,-57,-11,121,329,38,73,-52,8
"Tuscaloosa, AL",46220,Metropolitan Statistical Area,AL,278290,0.002882987,272988,276628,277490,278290,4302,3640,862,800,717,2948,2962,2993,697,3104,2989,2664,20,-156,-27,329,4,133,268,313,5077,3748,722,153,5081,3881,990,466,-799,-85,-101,5
"Twin Falls, ID",46300,Metropolitan Statistical Area,ID,120635,0.013186075,114642,117132,119065,120635,351,2490,1933,1570,383,1448,1503,1501,267,1175,1292,1146,116,273,211,355,8,112,214,286,223,2144,1490,926,231,2256,1704,1212,4,-39,18,3
"Tyler, TX",46340,Metropolitan Statistical Area,TX,245209,0.013281266,234199,237182,241995,245209,715,2983,4813,3214,712,2871,3040,3049,624,2929,2936,2544,88,-58,104,505,2,88,248,278,604,2943,4356,2426,606,3031,4604,2704,21,10,105,5
"Ukiah, CA",46380,Micropolitan Statistical Area,CA,89108,-0.009988112,91367,91321,90007,89108,-223,-46,-1314,-899,219,906,907,856,232,1104,1047,1013,-13,-198,-140,-157,0,47,69,129,-199,65,-1258,-871,-199,112,-1189,-742,-11,40,15,0
"Union City, TN",46460,Micropolitan Statistical Area,TN,30411,0.001218147,30775,30459,30374,30411,-18,-316,-85,37,72,320,355,363,90,568,518,471,-18,-248,-163,-108,0,7,-1,0,-6,-93,96,145,-6,-86,95,145,6,18,-17,0
"Urban Honolulu, HI",46520,Metropolitan Statistical Area,HI,989408,-0.005448178,1012399,1004163,994828,989408,-4108,-8236,-9335,-5420,2748,10998,11140,10799,1968,8386,9172,8770,780,2612,1968,2029,101,1369,4293,3399,-4530,-12242,-15707,-10794,-4429,-10873,-11414,-7395,-459,25,111,-54
"Urbana, OH",46500,Micropolitan Statistical Area,OH,38845,0.002632734,38743,38794,38743,38845,31,51,-51,102,103,382,423,432,104,491,513,476,-1,-109,-90,-44,0,3,3,6,20,131,62,139,20,134,65,145,12,26,-26,1
"Utica-Rome, NY",46540,Metropolitan Statistical Area,NY,287039,-0.003136048,291119,289643,287942,287039,-1138,-1476,-1701,-903,802,3007,3044,3044,980,3735,3793,3564,-178,-728,-749,-520,3,212,489,454,-868,-1092,-1344,-840,-865,-880,-855,-386,-95,132,-97,3
"Utuado, PR",46580,Micropolitan Statistical Area,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uvalde, TX",46620,Micropolitan Statistical Area,TX,24960,0.002812374,24571,24803,24890,24960,-4,232,87,70,94,358,401,407,71,351,349,324,23,7,52,83,2,41,80,76,-33,174,-30,-90,-31,215,50,-14,4,10,-15,1
"Valdosta, GA",46660,Metropolitan Statistical Area,GA,151118,0.009836548,148338,148941,149646,151118,203,603,705,1472,456,1944,1940,1957,318,1628,1604,1457,138,316,336,500,7,40,176,210,16,152,273,758,23,192,449,968,42,95,-80,4
